Round,Status,Tenure,Geography,Province,Matric,Degree,Diploma,Schoolquintile,Math,Mathlit,Additional_lang,Home_lang,Science,Female,Sa_citizen,Birthyear,Birthmonth,Target,Year_survey,Age_survey
4,wage employed,641.0,Suburb,Limpopo,1.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1998,1,0,2023,25
2,unemployed,951.0,Urban,Eastern Cape,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1987,9,0,2022,35
4,wage employed,334.0,Rural,North West,1.0,0.0,0.0,3.0,0 - 29 %,30 - 39 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
4,unemployed,250.0,Rural,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1997,9,0,2023,26
4,studying,582.0,Rural,Mpumalanga,1.0,1.0,0.0,3.0,0 - 29 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,2000,6,0,2023,23
3,other,582.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1997,10,1,2022,25
2,unemployed,827.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2022,22
1,studying,582.0,Rural,Limpopo,1.0,0.0,0.0,1.0,30 - 39 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1992,1,1,2021,29
3,other,582.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,0.0,0 - 29 %,30 - 39 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1988,10,1,2022,34
2,unemployed,522.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,40 - 49 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2022,22
1,employment programme,0.0,Urban,Mpumalanga,1.0,0.0,0.0,4.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1993,8,0,2021,28
2,unemployed,1186.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,30 - 39 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,1994,7,0,2022,28
4,wage employed,61.0,Urban,Gauteng,1.0,0.0,0.0,4.0,0 - 29 %,40 - 49 %,50 - 59 %,40 - 49 %,30 - 39 %,0,1,2000,1,0,2023,23
4,unemployed,401.0,Suburb,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2001,10,0,2023,22
4,unemployed,67.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2003,11,0,2023,20
2,studying,582.0,Urban,Western Cape,1.0,0.0,0.0,2.0,0 - 29 %,50 - 59 %,40 - 49 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2022,22
4,unemployed,67.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2004,6,0,2023,19
4,wage employed,304.0,Urban,Northern Cape,1.0,0.0,0.0,3.0,0 - 29 %,50 - 59 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,1,2023,23
4,unemployed,365.0,Urban,Gauteng,1.0,0.0,0.0,4.0,40 - 49 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,1,2023,23
1,studying,582.0,Urban,Gauteng,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,4,1,2021,21
2,wage employed,125.0,Suburb,Limpopo,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,50 - 59 %,50 - 59 %,50 - 59 %,0,1,2000,1,0,2022,22
4,studying,582.0,Urban,Western Cape,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2004,8,0,2023,19
4,studying,582.0,Urban,Eastern Cape,1.0,0.0,0.0,4.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1994,11,1,2023,29
3,other,582.0,Rural,Limpopo,0.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1992,3,1,2022,30
2,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,2.0,0 - 29 %,0 - 29 %,50 - 59 %,40 - 49 %,30 - 39 %,1,1,2001,1,0,2022,21
2,wage employed,119.0,Urban,Free State,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2022,22
3,unemployed,583.0,Rural,Limpopo,1.0,0.0,0.0,2.0,0 - 29 %,30 - 39 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1999,5,0,2022,23
4,unemployed,401.0,Rural,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,60 - 69 %,40 - 49 %,50 - 59 %,30 - 39 %,0,1,2000,5,0,2023,23
4,unemployed,401.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2002,7,0,2023,21
4,wage employed,396.0,Urban,Mpumalanga,1.0,0.0,0.0,4.0,30 - 39 %,40 - 49 %,50 - 59 %,50 - 59 %,0 - 29 %,1,1,2000,1,0,2023,23
4,unemployed,707.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,4.0,50 - 59 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,0,1,1996,8,0,2023,27
3,other,582.0,Rural,Limpopo,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1993,7,1,2022,29
4,self employed,582.0,Urban,North West,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,30 - 39 %,50 - 59 %,30 - 39 %,0,1,2003,9,1,2023,20
2,unemployed,1205.0,Urban,Limpopo,1.0,1.0,0.0,1.0,0 - 29 %,50 - 59 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2022,22
3,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,2.0,30 - 39 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,2004,2,0,2022,18
2,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,1.0,4.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2022,22
3,unemployed,309.0,Urban,Gauteng,1.0,0.0,0.0,4.0,0 - 29 %,50 - 59 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,1992,5,0,2022,30
4,wage employed,59.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,4.0,0 - 29 %,40 - 49 %,60 - 69 %,50 - 59 %,0 - 29 %,1,1,2000,1,0,2023,23
1,studying,582.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2001,4,0,2021,20
1,studying,582.0,Urban,Western Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1999,10,0,2021,22
4,unemployed,2256.0,Rural,Limpopo,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1994,6,0,2023,29
4,unemployed,2986.0,Rural,Northern Cape,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1995,10,0,2023,28
4,unemployed,184.0,Urban,Gauteng,1.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,40 - 49 %,50 - 59 %,0 - 29 %,1,1,2000,1,0,2023,23
4,studying,582.0,Urban,Gauteng,1.0,0.0,1.0,5.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,1,2023,23
3,unemployed,644.0,Suburb,KwaZulu-Natal,1.0,1.0,0.0,3.0,80 - 100 %,40 - 49 %,60 - 69 %,50 - 59 %,70 - 79 %,0,1,1995,9,0,2022,27
2,studying,582.0,Urban,Gauteng,1.0,0.0,1.0,5.0,0 - 29 %,60 - 69 %,50 - 59 %,60 - 69 %,30 - 39 %,1,1,2000,1,1,2022,22
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,40 - 49 %,40 - 49 %,50 - 59 %,50 - 59 %,40 - 49 %,0,1,2000,1,0,2023,23
4,unemployed,273.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,0 - 29 %,60 - 69 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2002,5,1,2023,21
2,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,2.0,40 - 49 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,2000,1,1,2022,22
4,wage employed,273.0,Urban,North West,1.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1997,3,0,2023,26
1,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,70 - 79 %,50 - 59 %,30 - 39 %,1,1,1993,12,0,2021,28
3,unemployed,1984.0,Urban,KwaZulu-Natal,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1991,3,0,2022,31
3,unemployed,248.0,Suburb,Limpopo,1.0,0.0,0.0,2.0,0 - 29 %,50 - 59 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,1998,11,0,2022,24
2,unemployed,798.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,3.0,60 - 69 %,40 - 49 %,60 - 69 %,50 - 59 %,50 - 59 %,1,1,2000,1,0,2022,22
4,wage employed,31.0,Urban,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1994,5,0,2023,29
3,studying,582.0,Suburb,Gauteng,1.0,0.0,0.0,3.0,50 - 59 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2002,9,0,2022,20
4,unemployed,429.0,Urban,Free State,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1998,10,0,2023,25
2,wage employed,95.0,Urban,Western Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,40 - 49 %,30 - 39 %,0,1,2000,1,1,2022,22
4,wage employed,273.0,Rural,Gauteng,1.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2023,23
1,unemployed,974.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,5.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1999,6,0,2021,22
4,unemployed,1009.0,Rural,Limpopo,0.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1996,3,0,2023,27
4,unemployed,1890.0,Rural,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1994,5,0,2023,29
2,wage employed,365.0,Urban,Gauteng,1.0,0.0,0.0,4.0,30 - 39 %,40 - 49 %,60 - 69 %,50 - 59 %,40 - 49 %,1,1,1994,3,1,2022,28
2,unemployed,0.0,Suburb,Eastern Cape,1.0,0.0,0.0,1.0,30 - 39 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,1,2022,22
4,unemployed,281.0,Suburb,Northern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1997,2,0,2023,26
2,unemployed,828.0,Suburb,Mpumalanga,0.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2022,22
4,studying,582.0,Urban,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1996,9,0,2023,27
1,wage employed,0.0,Urban,Free State,1.0,0.0,0.0,4.0,50 - 59 %,40 - 49 %,50 - 59 %,50 - 59 %,40 - 49 %,0,1,1992,10,0,2021,29
4,wage employed,61.0,Urban,Western Cape,0.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1999,6,1,2023,24
1,wage employed,0.0,Urban,Gauteng,0.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1986,10,0,2021,35
4,unemployed,730.0,Urban,Free State,1.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,1,2023,23
3,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,5.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2001,10,0,2022,21
4,studying,582.0,Rural,Eastern Cape,1.0,0.0,0.0,1.0,60 - 69 %,40 - 49 %,60 - 69 %,50 - 59 %,40 - 49 %,0,1,2001,4,0,2023,22
2,wage employed,196.0,Urban,Free State,1.0,0.0,0.0,4.0,0 - 29 %,60 - 69 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1992,9,0,2022,30
4,unemployed,1127.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1989,11,1,2023,34
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,8,1,2023,23
3,unemployed,66.0,Suburb,Gauteng,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1993,4,0,2022,29
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,0,1,2000,11,0,2023,23
4,wage employed,730.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,0,1,2000,1,1,2023,23
2,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,4.0,0 - 29 %,30 - 39 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2022,22
4,studying,582.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,50 - 59 %,40 - 49 %,50 - 59 %,50 - 59 %,60 - 69 %,1,1,2000,1,1,2023,23
1,studying,582.0,Rural,North West,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2021,21
2,unemployed,593.0,Urban,Western Cape,1.0,0.0,1.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1995,5,0,2022,27
2,unemployed,1176.0,Suburb,Limpopo,1.0,0.0,0.0,1.0,0 - 29 %,50 - 59 %,60 - 69 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2022,22
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,60 - 69 %,50 - 59 %,50 - 59 %,1,1,2000,4,0,2023,23
2,unemployed,339.0,Suburb,Eastern Cape,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1994,5,0,2022,28
4,unemployed,36.0,Urban,Mpumalanga,1.0,0.0,0.0,5.0,40 - 49 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2003,1,0,2023,20
2,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2022,22
2,unemployed,192.0,Urban,Gauteng,1.0,0.0,0.0,5.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,1,2022,22
3,unemployed,248.0,Urban,Mpumalanga,1.0,0.0,0.0,2.0,60 - 69 %,40 - 49 %,50 - 59 %,50 - 59 %,50 - 59 %,0,1,1997,10,0,2022,25
4,studying,582.0,Urban,Free State,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2023,23
3,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2003,8,0,2022,19
4,unemployed,1247.0,Rural,Limpopo,0.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1996,3,0,2023,27
4,wage employed,30.0,Urban,Free State,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2002,11,0,2023,21
3,wage employed,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,30 - 39 %,40 - 49 %,50 - 59 %,30 - 39 %,0,1,2000,4,0,2022,22
2,self employed,220.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,0 - 29 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,1,2022,22
4,unemployed,64.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,1.0,0 - 29 %,30 - 39 %,30 - 39 %,50 - 59 %,30 - 39 %,0,1,2001,3,0,2023,22
2,wage employed,149.0,Urban,Northern Cape,1.0,0.0,0.0,1.0,0 - 29 %,30 - 39 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2022,22
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,50 - 59 %,70 - 79 %,30 - 39 %,1,1,2000,1,0,2023,23
2,wage employed,120.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,4.0,0 - 29 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,0,1,1997,4,0,2022,25
4,unemployed,67.0,Urban,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,30 - 39 %,40 - 49 %,50 - 59 %,30 - 39 %,0,1,1999,11,0,2023,24
2,studying,582.0,Urban,Mpumalanga,1.0,0.0,0.0,3.0,50 - 59 %,40 - 49 %,60 - 69 %,50 - 59 %,40 - 49 %,0,1,2000,1,1,2022,22
3,employment programme,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,40 - 49 %,50 - 59 %,0 - 29 %,1,1,1995,6,0,2022,27
4,studying,582.0,Urban,Limpopo,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,2000,7,0,2023,23
3,wage employed,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,1993,3,0,2022,29
2,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2002,12,0,2022,20
2,unemployed,1524.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1993,11,0,2022,29
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1995,5,1,2023,28
2,wage employed,3165.0,Suburb,Free State,1.0,0.0,1.0,1.0,0 - 29 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,1990,9,0,2022,32
4,unemployed,36.0,Urban,Gauteng,1.0,0.0,1.0,1.0,0 - 29 %,60 - 69 %,70 - 79 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2023,23
3,unemployed,1193.0,Urban,Western Cape,0.0,0.0,1.0,5.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1994,4,0,2022,28
3,other,582.0,Suburb,Eastern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,2003,4,1,2022,19
4,studying,582.0,Urban,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,30 - 39 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,8,0,2023,23
2,unemployed,54.0,Suburb,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1999,11,0,2022,23
3,studying,582.0,Urban,Free State,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,40 - 49 %,50 - 59 %,0 - 29 %,1,1,1998,7,0,2022,24
4,studying,582.0,Urban,Western Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1999,11,0,2023,24
2,unemployed,1160.0,Rural,Limpopo,1.0,0.0,0.0,1.0,30 - 39 %,40 - 49 %,60 - 69 %,50 - 59 %,40 - 49 %,1,1,2000,1,0,2022,22
4,studying,582.0,Suburb,Mpumalanga,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2002,8,0,2023,21
